Sl.No,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History,rainfall_24h,rainfall_3d,rainfall_7d,rainfall_source,rainfall_source_type,rainfall_status,soil_moisture,soil_moisture_source,soil_moisture_source_type,soil_moisture_status,elevation,slope,aspect,landslide,sample_source,rainfall_available,soil_moisture_available,terrain_available
22363,MZ/CHA/84E05/2017/13,Mizoram,Champhai,NgopaTeikhang section,,23.890694,93.275024,Rock,Slide,2017,,,,,,,,,,,1698.0,16.1765,7.8931,1,GSI_field_inventory,False,False,True
22364,MIZ/AIZ/84A13/2016/28,Mizoram,Aizawl,10 km Khawruhlian milestone,towards Sesawng on NH 150,23.891722,92.84925,Debris,Slide,2016,,,,,,,,,,,576.0,25.2471,157.9481,1,GSI_field_inventory,False,False,True
22365,MIZ/AIZ/84A13/2016/29,Mizoram,Aizawl,~07 m from prev location,,23.891722,92.84925,Debris,Slide,2016,,,,,,,,,,,576.0,25.2471,157.9481,1,GSI_field_inventory,False,False,True
22366,MZ/AIZ/84E01/2017/69,Mizoram,Aizawl,ZawnginPhullen section,,23.894444,93.019279,Debris,Slide,,,,,,,,,,,,1071.0,34.161,210.1486,1,GSI_field_inventory,False,False,True
22368,MZ/AIZ/84E01/2017/107,Mizoram,Aizawl,Zawngin village,,23.899305,93.015587,Rock,Slide,,,,,,,,,,,,1066.0,22.4219,225.0753,1,GSI_field_inventory,False,False,True
22369,MZ/MAM/84A05/2020/3,Mizoram,Mamit,Mamit-Tuidam road section slide,Mamit-Tuidam road section,23.9,92.39,Rock,Slide,2019,,,,,,,,,,,207.0,16.5439,354.0125,1,GSI_field_inventory,False,False,True
22370,MZ/AIZ/84E01/2017/62,Mizoram,Aizawl,Zawngin village,,23.900694,93.015587,Debris,Slide,,,,,,,,,,,,1077.0,23.4015,306.0952,1,GSI_field_inventory,False,False,True
22371,MZ/CHA/84E05/2017/12,Mizoram,Champhai,12 km milestone to Teikhang,from Ngopa,23.901638,93.278641,Debris,Slide,,,,,,,,,,,,1691.0,20.9879,142.2977,1,GSI_field_inventory,False,False,True
22372,MIZ/AIZ/84A13/2016/8,Mizoram,Aizawl,Pehlawn,,23.902111,92.922556,Debris,Slide,2016,,,,,,,,,,,1138.0,10.4663,189.6563,1,GSI_field_inventory,False,False,True
22373,MZ/CHA/84E01/2017/46,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",river,23.905027,93.185776,Rock,Slide,2016,,,,,,,,,,,1003.0,28.0115,194.9491,1,GSI_field_inventory,False,False,True
22374,MZ/AIZ/84E01/2017/91,Mizoram,Aizawl,"Zawngin village, northern",outskirts,23.907555,93.015114,Debris,Slide,2017,,,,,,,,,,,1106.0,17.9715,297.4921,1,GSI_field_inventory,False,False,True
22375,MZ/CHA/84E01/2017/35,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",river,23.908806,93.177391,Debris,Slide,2017,,,,,,,,,,,1020.0,22.0747,194.5404,1,GSI_field_inventory,False,False,True
22376,MZ/CHA/84E01/2017/9,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",river,23.908806,93.180832,Rock,Slide,,,,,,,,,,,,1004.0,30.0746,208.2914,1,GSI_field_inventory,False,False,True
22377,MZ/AIZ/84E01/2017/80,Mizoram,Aizawl,SuangpuilawnZawngin section,,23.909111,93.02375,Rock,Slide,,,,,,,,,,,,1103.0,32.5163,207.2792,1,GSI_field_inventory,False,False,True
22379,MZ/CHA/84E01/2017/34,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",river,23.91011,93.177193,Rock,Slide,,,,,,,,,,,,1016.0,18.1846,274.2392,1,GSI_field_inventory,False,False,True
22380,MZ/AIZ/84E01/2017/88,Mizoram,Aizawl,SuangpuilawnZawngin section,,23.913445,93.023941,Debris,Slide,,,,,,,,,,,,1101.0,41.0092,350.6241,1,GSI_field_inventory,False,False,True
22381,MZ/CHA/84E01/2017/24,Mizoram,Champhai,"Ngopa village, 0 point to Tuivai",river,23.914278,93.178864,Debris,Slide,,,,,,,,,,,,988.0,24.4985,347.6592,1,GSI_field_inventory,False,False,True
22382,MIZ/AIZ/84A09/2016/120,Mizoram,Aizawl,"E of Serkhan, Serkhan-Hlimen",road,23.915778,92.742417,Rock,Slide,2016,,,,,,,,,,,1006.0,24.8478,49.0467,1,GSI_field_inventory,False,False,True
22383,MIZ/AIZ/84A13/2016/14,Mizoram,Aizawl,E Phaileng on NH 150,,23.918389,92.923472,Debris,Slide,2016,,,,,,,,,,,1106.0,18.6331,310.4005,1,GSI_field_inventory,False,False,True
22384,MIZ/AIZ/84A09/2016/121,Mizoram,Aizawl,Serkhan- Nisapui-Luanguat road,section,23.918461,92.741531,Rock,Slide,2016,,,,,,,,,,,985.0,23.5286,108.9845,1,GSI_field_inventory,False,False,True
22385,MIZ/AIZ/84A09/2016/54,Mizoram,Aizawl,~2 km from Serkhan towards,Khawnpui,23.918694,92.740389,Debris,Slide,2016,,,,,,,,,,,1039.0,10.8652,47.5689,1,GSI_field_inventory,False,False,True
